  TYPE:	PPIRP (adapted from Adulyasak(2013) and Archetti et al. (2011) benchmark)
  COMMENT: NODE 1 REPRESENTS THE SUPPLIER
  COMMENT: THE QUANTITY CONSUMED BY RETAILER AND THE
           QUANTITY MADE AVAILABLE AT THE SUPPLIER
           ARE CONSTANT OVER TIME
  TRANSPORTATION-COST-TYPE: EUC_2(T(i, j)=
  T(J, I)=INT((SQRT((X(I)-X(J))**2+(Y(I)-Y(J))**2))+.5)
  PRODUCED BY:	 yossiri
  DIMENSION:	41
  HORIZON:	6
  NUMBER OF VEHICLES:	4
  VEHICLE CAPACITY:	270
  SUPPLIER	COORD_X	COORD_Y	START_LEVEL_INV	INV_COST	VAR_PROD_COST	SET-UP_PROD_COST	PROD_CAPACITY	INV_CAPACITY
	0	74.0	399.0	0	3.0	30.0	3000.0	1256.0	628.0
  RETAILER	COORD_X	COORD_Y	START_LEVEL_INV	MAX_LEVEL_INV	MIN_LEVEL_INV	DEMAND	INV_COST
	1	356.0	138.0	40	56	0	8	8.0
	2	307.0	258.0	7	21	0	7	6.0
	3	143.0	253.0	12	24	0	6	9.0
	4	104.0	302.0	52	78	0	13	6.0
	5	66.0	243.0	90	126	0	18	9.0
	6	68.0	106.0	44	66	0	11	6.0
	7	496.0	495.0	60	90	0	15	8.0
	8	410.0	452.0	20	60	0	20	8.0
	9	496.0	278.0	92	138	0	23	8.0
	10	109.0	406.0	14	42	0	14	8.0
	11	281.0	56.0	22	66	0	22	6.0
	12	249.0	303.0	18	36	0	9	7.0
	13	184.0	352.0	105	147	0	21	6.0
	14	319.0	284.0	120	168	0	24	6.0
	15	425.0	394.0	6	18	0	6	6.0
	16	429.0	320.0	30	60	0	15	8.0
	17	260.0	262.0	30	42	0	6	6.0
	18	181.0	271.0	44	88	0	22	8.0
	19	49.0	184.0	10	30	0	10	7.0
	20	5.0	324.0	88	132	0	22	8.0
	21	328.0	142.0	24	72	0	24	8.0
	22	53.0	230.0	72	108	0	18	7.0
	23	419.0	6.0	19	57	0	19	8.0
	24	375.0	270.0	100	140	0	20	7.0
	25	479.0	66.0	90	126	0	18	6.0
	26	361.0	410.0	14	42	0	14	7.0
	27	135.0	199.0	16	48	0	16	8.0
	28	273.0	404.0	8	24	0	8	8.0
	29	304.0	117.0	32	64	0	16	9.0
	30	300.0	363.0	84	126	0	21	8.0
	31	362.0	303.0	24	72	0	24	6.0
	32	271.0	430.0	110	154	0	22	6.0
	33	275.0	359.0	40	80	0	20	6.0
	34	499.0	317.0	40	60	0	10	9.0
	35	295.0	0.0	30	42	0	6	7.0
	36	174.0	221.0	75	105	0	15	8.0
	37	191.0	442.0	100	140	0	20	6.0
	38	180.0	11.0	88	132	0	22	9.0
	39	410.0	200.0	45	63	0	9	7.0
	40	112.0	135.0	14	42	0	14	9.0
